38 Provinsi,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
,2020,2020
ACEH,68.04,71.91
SUMATERA UTARA,67.22,71.08
SUMATERA BARAT,67.59,71.45
RIAU,69.75,73.55
JAMBI,69.27,73.07
SUMATERA SELATAN,68,71.86
BENGKULU,67.47,71.27
LAMPUNG,68.78,72.61
KEP. BANGKA BELITUNG,68.77,72.59
KEP. RIAU,68.08,71.9
DKI JAKARTA,71.1,74.8
JAWA BARAT,71.3,75
JAWA TENGAH,72.51,76.3
DI YOGYAKARTA,73.22,76.83
JAWA TIMUR,69.42,73.27
BANTEN,68.08,71.93
BALI,70.28,74.03
NUSA TENGGARA BARAT,64.63,68.39
NUSA TENGGARA TIMUR,65.15,68.96
KALIMANTAN BARAT,68.8,72.67
KALIMANTAN TENGAH,67.84,71.66
KALIMANTAN SELATAN,66.76,70.62
KALIMANTAN TIMUR,72.54,76.21
KALIMANTAN UTARA,70.63,74.44
SULAWESI UTARA,69.82,73.67
SULAWESI TENGAH,66.77,70.72
SULAWESI SELATAN,68.68,72.56
SULAWESI TENGGARA,69.31,73.37
GORONTALO,66.14,70.09
SULAWESI BARAT,63.2,67.02
MALUKU,64.12,67.93
MALUKU UTARA,66.43,70.32
PAPUA BARAT,64.2,67.9
PAPUA BARAT DAYA,-,-
PAPUA,64.02,67.65
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,69.59,73.46
