No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
28,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7294172776007535878?is_from_webapp=1&sender_device=pc,Video,26-Oct-2023,0:00:08,2906,27,0,0,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan di Fasilitas Perpustakaan,
238,ublibrary,https://www.tiktok.com/@ublibrary/video/7382168354603175173?is_from_webapp=1&sender_device=pc,Video,15-Jun-2024,0:00:16,1884,35,4,1,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
328,ublibrary,https://www.tiktok.com/@ublibrary/video/7204762662142479642?is_from_webapp=1&sender_device=pc,Video,27-Feb-2023,0:00:30,478,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
371,unslibrary,https://www.tiktok.com/@unslibrary/video/7366184497110404357?is_from_webapp=1&sender_device=pc,Video,7-May-2024,0:00:23,1391,39,0,2,7,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
562,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7394684598522809606?is_from_webapp=1&sender_device=pc,Video,23-Jul-2024,0:00:16,282,7,0,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
605,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7315315705887345925?is_from_webapp=1&sender_device=pc,Video,22-Dec-2023,0:01:22,362,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
643,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7211440652855414042?is_from_webapp=1&sender_device=pc,Video,17-Mar-2023,0:00:59,280,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
818,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7351324364668783874?is_from_webapp=1&sender_device=pc,Video,28-Mar-2024,0:00:43,832,19,2,0,2,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan di Fasilitas Perpustakaan,
832,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7232506183838354715?is_from_webapp=1&sender_device=pc,Video,13-May-2023,0:00:51,690,28,0,0,2,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan di Fasilitas Perpustakaan,
833,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7232204982563507482?is_from_webapp=1&sender_device=pc,Video,12-May-2023,0:00:55,447,12,0,0,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
834,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7231850957271780635?is_from_webapp=1&sender_device=pc,Video,11-May-2023,0:00:58,263,10,0,0,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
835,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7231454192404008219?is_from_webapp=1&sender_device=pc,Video,10-May-2023,0:00:59,408,14,0,0,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
