Provinsi,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aceh,226 639,258 233,315 245,341 142,383 579,432 567,458 451,505 525,466 355,548 854,610 733,637 433,639 421,655 223,734 402,736 173,771 155
Sumatera Utara,207 606,227 521,257 661,288 594,324 392,349 032,363 478,416 319,416 073,493 142,553 691,586 199,612 136,643 456,630 459,689 464,735 644
Sumatera Barat,252 168,263 491,299 590,344 099,409 639,423 032,447 972,521 275,509 609,583 696,639 600,663 366,663 549,698 668,718 095,756 883,797 394
Riau,266 597,285 064,328 636,356 537,424 696,525 993,546 166,558 444,530 836,599 303,643 137,644 938,680 686,744 846,714 407,794 813,830 290
Jambi,224 889,209 364,243 003,287 309,351 105,376 633,413 120,469 248,464 204,523 615,611 923,625 664,632 452,640 958,673 353,710 705,776 810
Sumatera Selatan,199 431,216 856,248 475,284 268,324 594,343 788,408 355,480 765,418 794,513 874,581 214,568 798,536 802,584 583,611 881,674 968,708 236
Bengkulu,193 165,200 057,220 732,299 906,324 352,343 106,366 328,412 372,434 462,501 706,546 295,599 851,608 544,636 829,644 544,688 086,733 210
Lampung,217 916,209 458,228 316,271 181,305 734,338 261,405 210,422 069,447 587,491 262,558 327,560 503,570 593,587 511,622 926,644 379,690 693
Kepulauan Bangka Belitung,263 406,284 162,303 406,380 298,393 810,442 601,550 081,590 025,606 905,633 225,784 862,757 619,807 682,812 632,826 951,906 502,903 075
Kepulauan Riau,267 165,301 036,330 344,388 302,437 751,481 921,524 552,592 970,625 859,714 538,794 256,774 057,809 149,819 974,842 909,868 122,887 788
DKI Jakarta,272 821,313 878,357 934,398 782,457 669,519 028,603 269,623 186,615 486,692 207,797 828,847 847,877 449,944 687,923 933,953 321,1 055 896
Jawa Barat,199 577,223 205,239 201,278 285,322 195,380 259,413 777,406 530,448 748,514 628,593 468,626 039,659 200,682 461,698 336,729 521,780 434
Jawa Tengah,156 840,178 180,193 974,225 430,249 353,306 284,313 649,340 655,350 517,409 810,443 810,491 151,500 721,534 297,556 031,609 145,632 940
DI Yogyakarta,181 086,199 260,232 932,270 885,302 958,361 214,388 200,341 149,385 061,466 842,524 043,569 841,587 032,629 173,638 606,676 492,779 731
Jawa Timur,165 600,191 264,220 890,250 338,287 360,291 115,325 319,378 146,427 218,487 168,532 127,562 767,554 493,573 352,605 458,640 832,700 163
Banten,224 839,234 802,277 154,338 135,361 735,409 639,469 412,497 031,526 737,578 603,681 922,722 163,755 745,809 918,789 597,867 898,889 286
Bali,212 090,215 944,241 671,311 931,358 825,354 780,494 245,525 101,441 921,495 438,629 479,646 596,649 854,724 978,667 606,639 074,778 289
Nusa Tenggara Barat,160 540,186 472,191 821,249 107,271 368,341 243,337 101,420 182,373 402,442 889,490 606,565 820,573 132,613 446,683 662,707 430,766 451
Nusa Tenggara Timur,200 895,204 344,236 813,273 831,311 872,322 582,365 825,381 649,401 053,426 418,518 425,542 216,539 899,574 081,600 233,581 780,583 841
Kalimantan Barat,188 844,218 161,255 780,322 786,379 884,438 635,467 944,510 316,473 082,511 594,605 453,624 891,653 101,666 983,685 868,762 281,773 279
Kalimantan Tengah,230 792,283 938,308 212,326 759,408 361,428 808,454 453,517 271,506 106,571 463,648 916,660 148,683 519,708 823,729 455,742 369,767 756
Kalimantan Selatan,268 979,269 406,282 810,347 424,411 930,431 623,518 805,489 898,510 837,576 703,687 947,704 313,690 915,749 093,768 244,788 607,780 973
Kalimantan Timur,250 671,281 603,370 349,427 256,442 723,500 364,549 820,570 864,580 661,609 281,702 593,741 671,752 592,824 955,762 310,840 814,906 374
Kalimantan Utara1),-,-,-,-,-,-,-,-,536 894,586 025,750 225,699 406,738 913,765 816,779 047,762 996,817 846
Sulawesi Utara,199 297,186 399,200 747,286 724,327 688,390 854,444 603,436 506,459 988,545 514,673 045,611 678,603 630,629 700,649 716,711 700,706 244
Sulawesi Tengah,188 171,218 058,243 461,281 251,344 858,425 229,402 883,460 173,429 317,509 944,586 401,547 296,607 648,580 886,570 842,613 757,677 857
Sulawesi Selatan,200 088,217 727,256 990,323 848,318 992,337 460,360 511,402 456,436 956,505 254,537 564,593 699,566 414,597 002,608 651,647 737,671 869
Sulawesi Tenggara,199 921,203 898,236 087,335 709,325 118,340 137,362 990,358 190,385 082,439 024,483 416,534 142,551 173,572 119,593 611,605 702,620 645
Gorontalo,175 183,186 260,202 468,260 413,314 046,319 105,334 025,367 410,400 853,458 799,525 875,501 437,519 469,532 423,593 595,576 110,641 113
Sulawesi Barat,162 826,182 489,180 629,254 171,271 260,279 027,322 191,324 124,367 632,413 761,442 691,505 350,523 245,526 950,500 120,567 136,629 009
Maluku,217 097,232 003,247 366,262 616,333 695,403 908,414 484,465 179,486 374,511 198,556 649,623 806,601 811,620 871,642 907,678 817,666 162
Maluku Utara,267 331,275 301,338 486,371 122,344 662,340 350,460 042,471 080,465 188,466 434,597 199,630 537,637 731,662 541,678 260,655 076,730 588
Papua Barat,249 422,281 021,365 174,406 785,477 629,511 296,579 221,587 378,593 203,578 480,625 250,688 191,734 698,757 593,767 909,761 378,817 128
Papua,324 366,333 558,392 730,415 596,448 305,514 838,557 115,772 584,666 922,668 006,795 024,749 490,789 029,800 971,823 763,904 600,908 617
Indonesia,201 218,222 980,250 873,291 678,332 509,375 110,414 170,439 770,457 312,520 631,590 082,620 962,637 132,670 304,681 278,721 084,769 112
