Provinsi,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aceh,210 374,249 377,256 204,307 607,373 271,385 949,470 393,470 402,529 945,559 493,576 135,633 865,640 400,704 431,724 091,716 409,715 015
Sumatera Utara,225 606,250 148,274 781,328 487,312 932,316 579,380 777,381 027,453 609,474 404,491 793,544 629,587 372,639 800,657 135,668 872,723 743
Sumatera Barat,256 064,250 303,285 526,326 710,384 824,416 834,519 086,506 440,578 890,610 625,625 397,705 785,709 406,753 188,764 267,781 205,806 960
Riau,326 635,328 559,329 662,362 172,503 248,554 568,587 504,632 006,661 673,701 840,661 942,744 299,800 947,909 577,868 308,887 487,970 504
Jambi,254 446,234 962,239 804,279 662,354 921,401 337,452 634,433 134,556 527,624 606,641 117,649 403,684 518,733 848,753 363,796 194,925 267
Sumatera Selatan,200 374,215 115,243 277,272 873,273 395,445 946,440 030,538 378,514 708,569 719,589 323,637 747,608 271,637 679,670 505,685 548,742 848
Bengkulu,236 294,231 314,227 323,303 222,338 855,365 968,507 034,507 762,555 949,695 405,715 283,812 763,814 179,855 378,820 710,795 498,918 443
Lampung,329 527,288 214,275 503,314 309,351 031,376 967,438 876,473 544,538 560,551 370,569 779,616 817,620 055,643 044,693 671,674 904,798 498
Kepulauan Bangka Belitung,217 734,264 755,311 126,383 751,383 301,468 917,535 297,581 117,613 072,722 576,795 827,838 279,883 970,854 353,859 390,874 035,956 635
Kepulauan Riau,358 745,381 144,375 648,410 110,514 845,572 809,653 772,764 558,809 066,842 369,869 300,881 088,1 044 092,1 023 032,1 068 082,1 044 718,1 192 940
DKI Jakarta,500 586,549 789,580 449,625 432,898 019,884 071,925 160,1 085 089,1 157 945,1 184 441,1 199 618,1 191 310,1 278 664,1 313 304,1 412 497,1 572 026,1 735 820
Jawa Barat,244 837,255 333,289 004,293 690,385 386,385 707,447 852,505 206,566 242,599 331,625 684,707 932,715 976,748 324,776 090,810 707,892 796
Jawa Tengah,183 672,192 369,204 033,238 059,297 683,308 859,368 586,386 262,468 198,484 097,493 715,568 887,580 606,618 738,629 213,653 908,716 976
DI Yogyakarta,280 053,293 985,314 807,385 305,399 829,440 295,515 017,555 749,697 510,765 698,777 961,904 012,931 712,977 178,958 089,984 701,1 151 017
Jawa Timur,204 247,224 600,235 219,256 289,329 431,336 670,388 442,423 858,604 896,587 523,613 461,650 784,675 010,681 483,691 588,693 987,820 154
Banten,325 445,324 416,360 507,470 739,460 828,427 501,469 137,545 593,677 002,740 307,768 847,860 591,857 116,890 708,902 648,908 923,1 030 413
Bali,307 687,279 358,335 150,418 290,579 469,692 752,701 899,754 814,737 657,731 650,915 099,899 792,887 616,973 021,963 314,950 310,1 155 175
Nusa Tenggara Barat,151 503,172 259,207 458,274 540,243 507,234 901,303 305,350 931,381 980,431 456,460 071,468 884,559 055,598 237,658 565,582 408,635 908
Nusa Tenggara Timur,211 239,222 672,252 259,276 699,344 530,368 842,423 871,513 543,473 374,526 697,574 120,579 797,613 890,672 777,663 312,676 439,725 825
Kalimantan Barat,204 429,230 371,264 375,367 657,431 312,436 037,509 948,648 435,526 121,605 280,632 936,748 505,753 224,778 369,769 055,793 738,922 007
Kalimantan Tengah,225 939,239 637,264 614,278 194,377 446,453 917,550 440,578 692,549 096,656 185,693 048,754 485,782 545,837 135,831 203,800 765,842 228
Kalimantan Selatan,284 486,312 730,339 666,397 557,456 277,532 456,545 287,609 233,670 407,659 885,742 319,786 234,804 377,844 200,876 016,848 193,861 939
Kalimantan Timur,356 808,421 310,494 474,538 227,605 591,623 081,732 971,760 951,736 387,821 085,916 653,986 255,1 014 134,1 103 204,1 115 032,1 107 670,1 204 361
Kalimantan Utara1),-,-,-,-,-,-,-,-,623 024,707 552,771 073,837 432,848 856,928 045,934 656,896 809,981 495
Sulawesi Utara,230 259,195 474,211 392,311 195,409 939,459 041,496 357,538 656,519 694,605 107,665 213,783 586,698 124,764 265,703 347,663 541,768 611
Sulawesi Tengah,194 534,238 464,307 123,390 051,399 098,448 929,594 881,623 276,629 817,667 677,714 937,715 402,710 734,757 707,753 993,718 122,760 934
Sulawesi Selatan,247 415,267 649,329 139,366 147,366 609,404 453,466 832,479 392,575 266,688 465,719 573,712 200,724 941,729 928,760 368,749 233,842 181
Sulawesi Tenggara,205 799,238 903,347 976,419 208,419 952,445 349,489 702,541 703,520 583,657 422,652 235,721 816,754 733,744 283,789 519,799 980,800 735
Gorontalo,231 308,202 981,197 485,277 089,361 647,365 828,405 979,463 936,541 711,567 969,680 550,653 910,754 068,811 911,798 884,862 767,871 634
Sulawesi Barat,110 203,141 728,171 992,262 174,231 118,282 739,282 775,305 705,369 746,434 140,492 846,560 624,601 146,658 711,637 082,733 419,747 235
Maluku,234 650,233 809,229 082,239 822,406 185,406 085,484 342,528 522,511 825,584 709,586 860,685 306,688 359,755 608,803 428,787 907,873 972
Maluku Utara,256 065,330 755,399 622,438 314,430 976,502 200,480 250,564 673,510 105,619 048,725 689,830 530,837 159,868 167,839 119,778 805,903 808
Papua Barat,223 745,249 604,350 537,434 326,605 640,601 530,672 030,783 891,676 879,725 086,814 451,819 391,872 357,880 007,969 588,883 993,957 782
Papua,336 276,364 421,366 232,381 501,499 060,525 317,656 825,483 316,739 704,746 974,798 851,857 375,889 117,909 041,894 668,979 503,1 073 603
Indonesia,257 707,273 020,298 220,335 365,416 551,431 426,488 915,538 948,617 352,647 500,673 444,729 562,751 080,785 333,806 049,828 159,922 338
