"Rata-Rata Pengeluaran per Kapita Sebulan Untuk Makanan dan Bukan Makanan di Daerah Perkotaan Menurut Provinsi (rupiah), 2007-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi,Makanan,,,,,,,,,,,,,,,,,Non Makanan,,,,,,,,,,,,,,,,,Jumlah,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Aceh, 226 639, 258 233, 315 245, 341 142, 383 579, 432 567, 458 451, 505 525, 466 355, 548 854, 610 733, 637 433, 639 421, 655 223, 734 402, 736 173, 771 155, 210 374, 249 377, 256 204, 307 607, 373 271, 385 949, 470 393, 470 402, 529 945, 559 493, 576 135, 633 865, 640 400, 704 431, 724 091, 716 409, 715 015, 437 013, 507 609, 571 449, 648 749, 756 850, 818 516, 928 844, 975 927, 996 300,1 108 347,1 186 868,1 271 298,1 279 821,1 359 654,1 458 492,1 452 582,1 486 170,,
Sumatera Utara, 207 606, 227 521, 257 661, 288 594, 324 392, 349 032, 363 478, 416 319, 416 073, 493 142, 553 691, 586 199, 612 136, 643 456, 630 459, 689 464, 735 644, 225 606, 250 148, 274 781, 328 487, 312 932, 316 579, 380 777, 381 027, 453 609, 474 404, 491 793, 544 629, 587 372, 639 800, 657 135, 668 872, 723 743, 433 212, 477 669, 532 442, 617 081, 637 325, 665 611, 744 255, 797 346, 869 682, 967 546,1 045 484,1 130 828,1 199 508,1 283 256,1 287 594,1 358 335,1 459 387,,
Sumatera Barat, 252 168, 263 491, 299 590, 344 099, 409 639, 423 032, 447 972, 521 275, 509 609, 583 696, 639 600, 663 366, 663 549, 698 668, 718 095, 756 883, 797 394, 256 064, 250 303, 285 526, 326 710, 384 824, 416 834, 519 086, 506 440, 578 890, 610 625, 625 397, 705 785, 709 406, 753 188, 764 267, 781 205, 806 960, 508 232, 513 794, 585 115, 670 809, 794 462, 839 867, 967 058,1 027 715,1 088 499,1 194 321,1 264 998,1 369 151,1 372 955,1 451 856,1 482 362,1 538 088,1 604 354,,
Riau, 266 597, 285 064, 328 636, 356 537, 424 696, 525 993, 546 166, 558 444, 530 836, 599 303, 643 137, 644 938, 680 686, 744 846, 714 407, 794 813, 830 290, 326 635, 328 559, 329 662, 362 172, 503 248, 554 568, 587 504, 632 006, 661 673, 701 840, 661 942, 744 299, 800 947, 909 577, 868 308, 887 487, 970 504, 593 232, 613 623, 658 298, 718 709, 927 943,1 080 560,1 133 670,1 190 450,1 192 509,1 301 143,1 305 078,1 389 237,1 481 633,1 654 423,1 582 715,1 682 301,1 800 795,,
Jambi, 224 889, 209 364, 243 003, 287 309, 351 105, 376 633, 413 120, 469 248, 464 204, 523 615, 611 923, 625 664, 632 452, 640 958, 673 353, 710 705, 776 810, 254 446, 234 962, 239 804, 279 662, 354 921, 401 337, 452 634, 433 134, 556 527, 624 606, 641 117, 649 403, 684 518, 733 848, 753 363, 796 194, 925 267, 479 335, 444 326, 482 807, 566 971, 706 026, 777 970, 865 754, 902 382,1 020 732,1 148 222,1 253 040,1 275 067,1 316 971,1 374 805,1 426 715,1 506 899,1 702 077,,
Sumatera Selatan, 199 431, 216 856, 248 475, 284 268, 324 594, 343 788, 408 355, 480 765, 418 794, 513 874, 581 214, 568 798, 536 802, 584 583, 611 881, 674 968, 708 236, 200 374, 215 115, 243 277, 272 873, 273 395, 445 946, 440 030, 538 378, 514 708, 569 719, 589 323, 637 747, 608 271, 637 679, 670 505, 685 548, 742 848, 399 804, 431 971, 491 752, 557 141, 597 989, 789 734, 848 385,1 019 143, 933 502,1 083 594,1 170 537,1 206 545,1 145 074,1 222 262,1 282 386,1 360 516,1 451 084,,
Bengkulu, 193 165, 200 057, 220 732, 299 906, 324 352, 343 106, 366 328, 412 372, 434 462, 501 706, 546 295, 599 851, 608 544, 636 829, 644 544, 688 086, 733 210, 236 294, 231 314, 227 323, 303 222, 338 855, 365 968, 507 034, 507 762, 555 949, 695 405, 715 283, 812 763, 814 179, 855 378, 820 710, 795 498, 918 443, 429 458, 431 371, 448 055, 603 128, 663 207, 709 074, 873 362, 920 134, 990 410,1 197 110,1 261 578,1 412 614,1 422 723,1 492 207,1 465 253,1 483 583,1 651 654,,
Lampung, 217 916, 209 458, 228 316, 271 181, 305 734, 338 261, 405 210, 422 069, 447 587, 491 262, 558 327, 560 503, 570 593, 587 511, 622 926, 644 379, 690 693, 329 527, 288 214, 275 503, 314 309, 351 031, 376 967, 438 876, 473 544, 538 560, 551 370, 569 779, 616 817, 620 055, 643 044, 693 671, 674 904, 798 498, 547 443, 497 672, 503 819, 585 489, 656 766, 715 229, 844 087, 895 613, 986 147,1 042 631,1 128 107,1 177 320,1 190 647,1 230 555,1 316 597,1 319 283,1 489 191,,
Kepulauan Bangka Belitung, 263 406, 284 162, 303 406, 380 298, 393 810, 442 601, 550 081, 590 025, 606 905, 633 225, 784 862, 757 619, 807 682, 812 632, 826 951, 906 502, 903 075, 217 734, 264 755, 311 126, 383 751, 383 301, 468 917, 535 297, 581 117, 613 072, 722 576, 795 827, 838 279, 883 970, 854 353, 859 390, 874 035, 956 635, 481 141, 548 917, 614 532, 764 049, 777 111, 911 518,1 085 378,1 171 142,1 219 977,1 355 801,1 580 689,1 595 898,1 691 652,1 666 984,1 686 341,1 780 537,1 859 710,,
