S1 Table.  Sample names and inferred ancestry/subpopulation assignments from fastStructure analysis for 544 Oryza accessions run with the C7AIR.,,,,,,,,,
Accession,Pop1,Pop2,Pop3,Pop4,Pop5,Pop6,Pop assignment,Species,Group name
201429710032R12C01,0.690649,0.307758,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
201429710137R07C01,0.537187,0.222367,0.000398,0.000398,0.239252,0.000398,1,O.sativa,Tropical Japonica
Antonio,0.998012,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
ANTONIO,0.998013,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
CenturyPatnaOriginal,0.844002,0.154406,0.000398,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
CHENIERE,0.998012,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
CL111,0.998013,0.000398,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
CL151,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
CL153,0.998012,0.000398,0.000398,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
CL163,0.998007,0.000399,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
CL172,0.974188,0.000399,0.000399,0.000399,0.000399,0.024217,1,O.sativa,Tropical Japonica
Cocodrie,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
COCODRIE,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
Colorado,0.998012,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
CreoleBred,0.577015,0.000399,0.000398,0.079042,0.342748,0.000398,1,O.sativa,Tropical Japonica
CriolloChivacoa2,0.543454,0.000398,0.000398,0.000398,0.454953,0.000398,1,O.sativa,Tropical Japonica
DELLA2,0.998011,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
Diamante,0.70337,0.121163,0.000398,0.000398,0.174272,0.000398,1,O.sativa,Tropical Japonica
DIAMOND,0.791583,0.000398,0.061821,0.000398,0.145401,0.000398,1,O.sativa,Tropical Japonica
EMBRAPA1200,0.837383,0.161023,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
JAZZMAN2,0.954902,0.043505,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
Jefferson,0.836589,0.000398,0.000398,0.000398,0.161818,0.000398,1,O.sativa,Tropical Japonica
KerangSerang,0.491924,0.000398,0.117592,0.000398,0.389289,0.000398,1,O.sativa,Tropical Japonica
KuningTinggi,0.998009,0.000398,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
LAKAST,0.775028,0.000398,0.000399,0.000398,0.188819,0.034957,1,O.sativa,Tropical Japonica
LongGnarJim,0.751361,0.000398,0.000398,0.000398,0.247046,0.000398,1,O.sativa,Tropical Japonica
MERMENTAU,0.826407,0.000398,0.000398,0.000398,0.172001,0.000398,1,O.sativa,Tropical Japonica
PATNAI23,0.95065,0.000398,0.000398,0.000398,0.047757,0.000398,1,O.sativa,Tropical Japonica
Presidio,0.998008,0.000399,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
PRESIDIO,0.998008,0.000399,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
REX,0.929054,0.000398,0.000398,0.000398,0.069353,0.000398,1,O.sativa,Tropical Japonica
ROYJ,0.764639,0.000398,0.000398,0.000398,0.000399,0.233768,1,O.sativa,Tropical Japonica
RU0803147,0.998013,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU0803153,0.998012,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1003098,0.998011,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1003123,0.998012,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1303181,0.998014,0.000397,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
RU1403089,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1403138,0.998011,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1403141,0.99801,0.000399,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1403153,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1503147,0.998007,0.000399,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
RU1503169,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1503175,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1603086,0.998013,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1603089,0.99801,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
RU1603113,0.998014,0.000397,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
RU1603116,0.998008,0.000398,0.000398,0.000399,0.000399,0.000399,1,O.sativa,Tropical Japonica
RU1603123,0.998013,0.000397,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
RU1603138,0.998009,0.000398,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
RU1603144,0.998009,0.000398,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
RU1603178,0.887826,0.110581,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
THAD,0.998007,0.000398,0.000399,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
WELLS,0.938583,0.000398,0.000398,0.000398,0.059823,0.000399,1,O.sativa,Tropical Japonica
WG0252580DNAA01,0.998013,0.000398,0.000397,0.000397,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAA03,0.884464,0.000398,0.000398,0.000398,0.113943,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAA12,0.998013,0.000397,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
WG0252580DNAB01,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAB03,0.871893,0.000398,0.000398,0.000398,0.126514,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAB04,0.060549,0.000399,0.858418,0.000398,0.079837,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAB12,0.998011,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAC01,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAC02,0.693425,0.304982,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAC12,0.551313,0.447094,0.000398,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAD01,0.667727,0.000398,0.000398,0.000398,0.33068,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAD03,0.799039,0.000398,0.000398,0.000398,0.199368,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAD12,0.681635,0.000398,0.055613,0.000398,0.261558,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAE01,0.826407,0.000398,0.000398,0.000398,0.172001,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAE05,0.998013,0.000397,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
WG0252580DNAF01,0.807909,0.000398,0.000398,0.000398,0.190498,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAG11,0.998008,0.000399,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
WG0252580DNAH02,0.93471,0.000398,0.000399,0.000398,0.063696,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAH11,0.998013,0.000398,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
WG0252580DNAH12,0.998008,0.000398,0.000398,0.000399,0.000399,0.000398,1,O.sativa,Tropical Japonica
201429710032R01C02,0.000398,0.998008,0.000398,0.000399,0.000399,0.000399,2,O.sativa,Temperate Japonica
201429710032R02C01,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R03C02,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R04C01,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R09C01,0.000398,0.700865,0.000398,0.000398,0.297543,0.000399,2,O.sativa,Temperate Japonica
201429710032R10C02,0.000397,0.998011,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R11C01,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R11C02,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710137R01C01,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710137R02C02,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
