city;;name;lon;lat
Jakarta; Indonesia;SPBU;1.068.965.435;-6.371.344
Jakarta; Indonesia;SPBU;1.069.336.357;-61.324.155
Jakarta; Indonesia;SPBU;106.906.899;-6.129.402
Jakarta; Indonesia;SPBU 34-13906;1.069.430.887;-61.705.418
Jakarta; Indonesia;31.127.01;1.068.188.158;-62.735.191
Jakarta; Indonesia;SPBU 34.13413;1.068.862.411;-62.218.999
Jakarta; Indonesia;Pertamina;1.068.778.219;-62.352.932
Jakarta; Indonesia;Pertamina;1.069.480.772;-61.854.894
Jakarta; Indonesia;SPBU 10048251;1.069.445.459;-61.843.023
Jakarta; Indonesia;Pertamina;1.068.139.672;-61.970.882
Jakarta; Indonesia;SPBU Pertamina 34-10504;1.068.750.376;-61.848.315
Jakarta; Indonesia;SPBU 34.11405;1.067.970.228;-62.036.587
Jakarta; Indonesia;Shell;1.067.365.457;-61.845.383
Jakarta; Indonesia;SPBU 34 11602;1.067.486.143;-61.789.556
Jakarta; Indonesia;SPBU 34-11611;1.067.253.569;-61.868.261
Jakarta; Indonesia;SPBU 34.112.01;1.068.071.193;-61.555.621
Jakarta; Indonesia;Pertamina;1.067.517.865;-61.972.387
Jakarta; Indonesia;SPBU 34-11606;1.067.602.243;-61.982.216
Jakarta; Indonesia;SPBU 34-13908;1.069.673.268;-61.895.404
Jakarta; Indonesia;SPBU 34 11607;1.067.298.389;-61.960.559
Jakarta; Indonesia;31.102.02;1.068.181.908;-61.785.704
Jakarta; Indonesia;34-10205;1.068.136.199;-61.803.988
Jakarta; Indonesia;Pertamina;1.068.997.907;-61.930.955
Jakarta; Indonesia;Pertamina;1.068.748.459;-61.966.305
Jakarta; Indonesia;Pertamina;1.068.761.993;-62.338.285
Jakarta; Indonesia;SPBU 34-10604;1.068.426.633;-61.677.556
Jakarta; Indonesia;SPBU 34-13907;1.069.539.593;-62.078.268
Jakarta; Indonesia;SPBU 34-13905;1.069.559.518;-61.997.376
